City,Country,Venue,Opening act(s),Attendance (tickets sold / available),Revenue,Tour
Evansville,United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler","7,463 / 7,463","$360,617",Fearless_Tour
Jonesboro,United States,Convocation Center,"Gloriana
Kellie Pickler","7,822 / 7,822","$340,328",Fearless_Tour
St. Louis,United States,Scottrade Center,"Gloriana
Kellie Pickler","13,764 / 13,764","$650,420",Fearless_Tour
Alexandria,United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
North Charleston,United States,North Charleston Coliseum,"Gloriana
Kellie Pickler","8,751 / 8,751","$398,154",Fearless_Tour
Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler","11,072 / 11,072","$507,012",Fearless_Tour
Biloxi,United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler","9,436 / 9,436","$437,313",Fearless_Tour
London,England,Shepherd's Bush Empire,—,"6,789 / 6,789","$401,328",Fearless_Tour
London,England,Shepherd's Bush Empire,—,"6,789 / 6,789","$401,328",Fearless_Tour
Spokane,United States,Spokane Arena,"Gloriana
Kellie Pickler","10,798 / 10,798","$482,146",Fearless_Tour
Seattle,United States,KeyArena,"Gloriana
Kellie Pickler","12,061 / 12,061","$528,637",Fearless_Tour
Portland,United States,Rose Garden Arena,"Gloriana
Kellie Pickler","13,226 / 13,226","$613,284",Fearless_Tour
Nampa,United States,Ford Arena,"Gloriana
Kellie Pickler","8,970 / 8,970","$413,622",Fearless_Tour
Glendale,United States,Jobing.com Arena,"Gloriana
Kellie Pickler","13,052 / 13,052","$647,923",Fearless_Tour
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","13,648 / 13,648","$720,940",Fearless_Tour
Paradise,United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler","8,311 / 8,311","$551,051",Fearless_Tour
San Diego,United States,Valley View Casino Center,"Gloriana
Kellie Pickler","10,174 / 10,174","$502,689",Fearless_Tour
Salt Lake City,United States,EnergySolutions Arena,"Gloriana
Kellie Pickler","13,042 / 13,042","$555,207",Fearless_Tour
New Brockton,United States,BamaJam Farms,—,—,—,Fearless_Tour
Columbia,United States,Merriweather Post Pavilion,"Gloriana
Kellie Pickler","17,619 / 17,619","$608,438",Fearless_Tour
Greensboro,United States,Greensboro Coliseum,"Gloriana
Kellie Pickler","14,641 / 14,641","$690,959",Fearless_Tour
Oshkosh,United States,Ford Festival Park,—,—,—,Fearless_Tour
Cadott,United States,Amphitheatre Concert Grounds,—,—,—,Fearless_Tour
Calgary,Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Edmonton,Canada,Commonwealth Stadium,—,"33,910 / 44,500","$2,540,906",Fearless_Tour
Craven,Canada,Big Valley Park,—,—,—,Fearless_Tour
Winnipeg,Canada,MTS Centre,"Gloriana
Kellie Pickler","11,369 / 11,369","$512,487",Fearless_Tour
Twin Lakes,United States,Country Thunder Festival,—,—,—,Fearless_Tour
Columbus,United States,Value City Arena,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Charleston,United States,Charleston Civic Center,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Cheyenne,United States,Cheyenne Frontier Days Arena,Kellie Pickler,—,—,Fearless_Tour
Rapid City,United States,Barnett Arena,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Minot,United States,North Dakota State Fair Grandstand,—,—,—,Fearless_Tour
Philadelphia,United States,Wachovia Spectrum,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Detroit Lakes,United States,Soo Pass Ranch,—,—,—,Fearless_Tour
Omaha,United States,Qwest Center Omaha,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Chelmsford,England,Hylands Park,—,—,—,Fearless_Tour
Weston-under-Lizard,England,Weston Park,—,—,—,Fearless_Tour
New York City,United States,Madison Square Garden,"Gloriana
Kellie Pickler","13,597 / 13,597","$976,062",Fearless_Tour
Montville,United States,Mohegan Sun Arena,"Gloriana
Kellie Pickler","7,507 / 7,507","$296,306",Fearless_Tour
University Park,United States,Bryce Jordan Center,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Louisville,United States,Freedom Hall,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Duluth,United States,Arena at Gwinnett Center,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Greenville,United States,Bi-Lo Center,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Charlotte,United States,Time Warner Cable Arena,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Lafayette,United States,Cajundome,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Bossier City,United States,CenturyTel Center,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Birmingham,United States,BJCC Arena,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Nashville,United States,Bridgestone Arena,"Gloriana
Kellie Pickler","14,269 / 14,269","$642,387",Fearless_Tour
Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler","13,794 / 13,794","$628,062",Fearless_Tour
North Little Rock,United States,Verizon Arena,"Gloriana
Kellie Pickler","13,978 / 13,978","$654,089",Fearless_Tour
Tulsa,United States,BOK Center,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Pittsburgh,United States,Mellon Arena,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Grand Rapids,United States,Van Andel Arena,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Cleveland,United States,Quicken Loans Arena,"Gloriana
Kellie Pickler","15,524 / 15,524","$743,492",Fearless_Tour
Indianapolis,United States,Conseco Fieldhouse,"Gloriana
Kellie Pickler","13,373 / 13,373","$634,876",Fearless_Tour
Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler","26,265 / 26,265","$1,150,896",Fearless_Tour
Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler","26,265 / 26,265","$1,150,896",Fearless_Tour
Minneapolis,United States,Target Center,"Gloriana
Kellie Pickler","13,563 / 13,563","$623,975",Fearless_Tour
London,England,Wembley Arena,Justin Bieber,—,—,Fearless_Tour
Manchester,England,Manchester Evening News Arena,Justin Bieber,—,—,Fearless_Tour
Brisbane,Australia,Brisbane Entertainment Centre,Gloriana,"11,334 / 11,334","$956,505",Fearless_Tour
Sydney,Australia,Acer Arena,Gloriana,"27,030 / 27,030","$2,030,640",Fearless_Tour
Sydney,Australia,Acer Arena,Gloriana,"27,030 / 27,030","$2,030,640",Fearless_Tour
Newcastle,Australia,Newcastle Entertainment Centre,Gloriana,"7,180 / 7,180","$555,396",Fearless_Tour
Melbourne,Australia,Rod Laver Arena,Gloriana,"23,493 / 23,493","$1,627,510",Fearless_Tour
Melbourne,Australia,Rod Laver Arena,Gloriana,"23,493 / 23,493","$1,627,510",Fearless_Tour
Adelaide,Australia,Adelaide Entertainment Centre,Gloriana,"9,066 / 9,066","$585,352",Fearless_Tour
Tokyo,Japan,Zepp Tokyo,—,—,—,Fearless_Tour
Tampa,United States,St. Pete Times Forum,"Gloriana
Kellie Pickler","13,861 / 13,861","$793,049",Fearless_Tour
Orlando,United States,Amway Arena,"Gloriana
Kellie Pickler","11,101 / 11,101","$598,581",Fearless_Tour
Sunrise,United States,BankAtlantic Center,"Gloriana
Kellie Pickler","13,453 / 13,453","$777,442",Fearless_Tour
Austin,United States,Frank Erwin Center,"Gloriana
Kellie Pickler","11,928 / 11,928","$642,705",Fearless_Tour
Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler","14,022 / 14,022","$742,954",Fearless_Tour
Corpus Christi,United States,American Bank Center Arena,"Gloriana
Kellie Pickler","8,423 / 8,423","$501,169",Fearless_Tour
Philadelphia,United States,Wells Fargo Center,"Gloriana
Kellie Pickler","30,360 / 30,360","$2,002,321",Fearless_Tour
Philadelphia,United States,Wells Fargo Center,"Gloriana
Kellie Pickler","30,360 / 30,360","$2,002,321",Fearless_Tour
Charlottesville,United States,John Paul Jones Arena,"Gloriana
Kellie Pickler","11,858 / 11,858","$664,305",Fearless_Tour
Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler","29,125 / 29,125","$1,711,591",Fearless_Tour
Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler","29,125 / 29,125","$1,711,591",Fearless_Tour
Cincinnati,United States,U.S. Bank Arena,"Gloriana
Kellie Pickler","11,208 / 11,208","$645,592",Fearless_Tour
Oklahoma City,United States,Ford Center,"Gloriana
Kellie Pickler","11,795 / 11,795","$675,184",Fearless_Tour
Wichita,United States,Intrust Bank Arena,"Gloriana
Kellie Pickler","11,208 / 11,208","$610,801",Fearless_Tour
Kansas City,United States,Sprint Center,"Gloriana
Kellie Pickler","13,781 / 13,781","$761,110",Fearless_Tour
Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler","25,991 / 25,991","$1,497,135",Fearless_Tour
Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler","25,991 / 25,991","$1,497,135",Fearless_Tour
Fresno,United States,Save Mart Center,"Gloriana
Kellie Pickler","11,706 / 11,706","$649,488",Fearless_Tour
San Jose,United States,HP Pavilion,"Gloriana
Kellie Pickler","12,744 / 12,744","$716,726",Fearless_Tour
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","27,518 / 27,518","$1,736,197",Fearless_Tour
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","27,518 / 27,518","$1,736,197",Fearless_Tour
Lexington,United States,Rupp Arena,"Gloriana
Kellie Pickler","17,966 / 17,966","$1,024,223",Fearless_Tour
Columbia,United States,Colonial Life Arena,"Gloriana
Kellie Pickler","13,429 / 13,429","$755,475",Fearless_Tour
Raleigh,United States,RBC Center,"Gloriana
Kellie Pickler","13,895 / 13,895","$752,303",Fearless_Tour
Des Moines,United States,Wells Fargo Arena,"Gloriana
Kellie Pickler","13,264 / 13,264","$738,280",Fearless_Tour
Saint Paul,United States,Xcel Energy Center,"Gloriana
Kellie Pickler","14,914 / 14,914","$846,111",Fearless_Tour
Moline,United States,iWireless Center,"Gloriana
Kellie Pickler","10,641 / 10,641","$610,668",Fearless_Tour
Newark,United States,Prudential Center,"Gloriana
Kellie Pickler","26,065 / 26,065","$1,742,669",Fearless_Tour
Newark,United States,Prudential Center,"Gloriana
Kellie Pickler","26,065 / 26,065","$1,742,669",Fearless_Tour
Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler","25,831 / 25,831","$1,713,529",Fearless_Tour
Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler","25,831 / 25,831","$1,713,529",Fearless_Tour
Ottawa,Canada,Scotiabank Place,"Gloriana
Kellie Pickler","13,376 / 13,376","$873,206",Fearless_Tour
Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler","30,458 / 30,458","$2,497,690",Fearless_Tour
Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler","30,458 / 30,458","$2,497,690",Fearless_Tour
Houston,United States,Toyota Center,"Gloriana
Kellie Pickler","23,493 / 23,493","$1,290,926",Fearless_Tour
Houston,United States,Toyota Center,"Gloriana
Kellie Pickler","23,493 / 23,493","$1,290,926",Fearless_Tour
Baton Rouge,United States,Tiger Stadium,—,—,—,Fearless_Tour
Washington,United States,Verizon Center,"Gloriana
Kellie Pickler","27,290 / 27,290","$1,824,743",Fearless_Tour
Washington,United States,Verizon Center,"Gloriana
Kellie Pickler","27,290 / 27,290","$1,824,743",Fearless_Tour
Foxborough,United States,Gillette Stadium,"Gloriana
Justin Bieber
Kellie Pickler","56,868 / 56,868","$3,726,157",Fearless_Tour
Nassau,The Bahamas,Imperial Ballroom,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Cavendish,Canada,Cavendish Beach Festival Grounds,—,"35,000 / 35,000",—,Fearless_Tour
Singapore,Singapore,Singapore Indoor Stadium,Sezairi Sezali,"8,964 / 8,964","$916,850",Speak_Now_World_Tour
Seoul,South Korea,Olympic Gymnastics Arena,—,"4,725 / 4,725","$385,374",Speak_Now_World_Tour
Osaka,Japan,Osaka-Jo Hall,—,"6,953 / 6,953","$758,113",Speak_Now_World_Tour
Tokyo,Japan,Nippon Budokan,—,"15,955 / 15,955","$1,738,227",Speak_Now_World_Tour
Tokyo,Japan,Nippon Budokan,—,"15,955 / 15,955","$1,738,227",Speak_Now_World_Tour
Quezon City,Philippines,Smart Araneta Coliseum,Sam Concepcion,"12,667 / 12,667","$859,037",Speak_Now_World_Tour
Hong Kong,Hong Kong,AsiaWorld–Arena,Saito Johnny,"12,573 / 12,573","$1,030,633",Speak_Now_World_Tour
Brussels,Belgium,Forest National,Tom Dice,"4,622 / 4,622","$219,212",Speak_Now_World_Tour
Rotterdam,Netherlands,Sportpaleis van Ahoy,Tom Dice,"4,799 / 4,799","$248,314",Speak_Now_World_Tour
Oslo,Norway,Oslo Spektrum,—,"8,650 / 8,650","$815,246",Speak_Now_World_Tour
Oberhausen,Germany,König Pilsener Arena,Martin & James,"6,082 / 6,082","$370,028",Speak_Now_World_Tour
Milan,Italy,Mediolanum Forum,Emma Marrone,"3,421 / 5,585","$153,303",Speak_Now_World_Tour
Paris,France,Zénith de Paris,—,"3,598 / 8,500","$201,781",Speak_Now_World_Tour
Madrid,Spain,Palacio de los Deportes,The Bright,"3,962 / 3,962","$251,864",Speak_Now_World_Tour
Birmingham,England,LG Arena,Martin & James,"9,339 / 9,339","$508,854",Speak_Now_World_Tour
Belfast,Northern Ireland,Odyssey Arena,Ryan Sheridan,"8,058 / 8,058","$379,001",Speak_Now_World_Tour
Dublin,Ireland,The O2,Ryan Sheridan,"8,681 / 8,681","$419,806",Speak_Now_World_Tour
Manchester,England,Manchester Evening News Arena,Martin & James,"10,488 / 11,622","$580,558",Speak_Now_World_Tour
London,England,The O2 Arena,Martin & James,"15,265 / 15,681","$891,152",Speak_Now_World_Tour
Omaha,United States,Qwest Center Omaha,Needtobreathe,"26,992 / 26,992","$1,717,104",Speak_Now_World_Tour
Omaha,United States,Qwest Center Omaha,Needtobreathe,"26,992 / 26,992","$1,717,104",Speak_Now_World_Tour
Des Moines,United States,Wells Fargo Arena,Needtobreathe,"13,149 / 13,149","$862,771",Speak_Now_World_Tour
Sunrise,United States,BankAtlantic Center,Needtobreathe,"24,077 / 24,077","$1,582,951",Speak_Now_World_Tour
Sunrise,United States,BankAtlantic Center,Needtobreathe,"24,077 / 24,077","$1,582,951",Speak_Now_World_Tour
Orlando,United States,Amway Center,Needtobreathe,"12,262 / 12,262","$791,980",Speak_Now_World_Tour
Columbus,United States,Nationwide Arena,Needtobreathe,"14,817 / 14,817","$955,259",Speak_Now_World_Tour
Milwaukee,United States,Bradley Center,Needtobreathe,"13,748 / 13,748","$897,042",Speak_Now_World_Tour
Detroit,United States,Ford Field,Needtobreathe,"47,992 / 47,992","$3,453,549",Speak_Now_World_Tour
Saint Paul,United States,Xcel Energy Center,Needtobreathe,"28,977 / 28,977","$1,913,737",Speak_Now_World_Tour
Saint Paul,United States,Xcel Energy Center,Needtobreathe,"28,977 / 28,977","$1,913,737",Speak_Now_World_Tour
Pittsburgh,United States,Heinz Field,Needtobreathe,"52,009 / 52,009","$4,009,118",Speak_Now_World_Tour
Buffalo,United States,First Niagara Center,Needtobreathe,"14,487 / 14,487","$966,749",Speak_Now_World_Tour
Hartford,United States,XL Center,Needtobreathe,"12,436 / 12,436","$810,165",Speak_Now_World_Tour
Foxborough,United States,Gillette Stadium,Needtobreathe,"110,800 / 110,800","$8,026,350",Speak_Now_World_Tour
Foxborough,United States,Gillette Stadium,Needtobreathe,"110,800 / 110,800","$8,026,350",Speak_Now_World_Tour
Greensboro,United States,Greensboro Coliseum,Needtobreathe,"14,789 / 14,789","$990,701",Speak_Now_World_Tour
Knoxville,United States,Thompson–Boling Arena,Needtobreathe,"13,754 / 13,754","$903,875",Speak_Now_World_Tour
Montreal,Canada,Bell Centre,Needtobreathe,"13,439 / 13,439","$1,254,230",Speak_Now_World_Tour
Toronto,Canada,Air Canada Centre,Needtobreathe,"30,144 / 30,144","$3,036,000",Speak_Now_World_Tour
Toronto,Canada,Air Canada Centre,Needtobreathe,"30,144 / 30,144","$3,036,000",Speak_Now_World_Tour
Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",Speak_Now_World_Tour
Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",Speak_Now_World_Tour
Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",Speak_Now_World_Tour
Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",Speak_Now_World_Tour
Grand Rapids,United States,Van Andel Arena,Needtobreathe,"11,012 / 11,012","$724,854",Speak_Now_World_Tour
Indianapolis,United States,Conseco Fieldhouse,Needtobreathe,"13,329 / 13,329","$877,175",Speak_Now_World_Tour
Cleveland,United States,Quicken Loans Arena,Needtobreathe,"14,873 / 14,873","$976,954",Speak_Now_World_Tour
Washington,United States,Verizon Center,Needtobreathe,"29,303 / 29,303","$2,068,789",Speak_Now_World_Tour
Washington,United States,Verizon Center,Needtobreathe,"29,303 / 29,303","$2,068,789",Speak_Now_World_Tour
Philadelphia,United States,Lincoln Financial Field,Needtobreathe,"51,395 / 51,395","$4,268,678",Speak_Now_World_Tour
Rosemont,United States,Allstate Arena,Needtobreathe,"26,112 / 26,112","$1,909,603",Speak_Now_World_Tour
Rosemont,United States,Allstate Arena,Needtobreathe,"26,112 / 26,112","$1,909,603",Speak_Now_World_Tour
St. Louis,United States,Scottrade Center,Needtobreathe,"27,965 / 27,965","$1,850,159",Speak_Now_World_Tour
St. Louis,United States,Scottrade Center,Needtobreathe,"27,965 / 27,965","$1,850,159",Speak_Now_World_Tour
Edmonton,Canada,Rexall Place,Needtobreathe,"25,336 / 25,336","$2,136,270",Speak_Now_World_Tour
Edmonton,Canada,Rexall Place,Needtobreathe,"25,336 / 25,336","$2,136,270",Speak_Now_World_Tour
Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",Speak_Now_World_Tour
Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",Speak_Now_World_Tour
Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",Speak_Now_World_Tour
Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",Speak_Now_World_Tour
San Jose,United States,HP Pavilion,Needtobreathe,"24,827 / 24,827","$1,825,448",Speak_Now_World_Tour
San Jose,United States,HP Pavilion,Needtobreathe,"24,827 / 24,827","$1,825,448",Speak_Now_World_Tour
Sacramento,United States,Power Balance Pavilion,Needtobreathe,"12,432 / 12,432","$934,326",Speak_Now_World_Tour
Portland,United States,Rose Garden Arena,Needtobreathe,"13,610 / 13,610","$903,445",Speak_Now_World_Tour
Tacoma,United States,Tacoma Dome,Needtobreathe,"19,904 / 19,904","$1,289,430",Speak_Now_World_Tour
Vancouver,Canada,Rogers Arena,Needtobreathe,"26,030 / 26,030","$2,190,680",Speak_Now_World_Tour
Vancouver,Canada,Rogers Arena,Needtobreathe,"26,030 / 26,030","$2,190,680",Speak_Now_World_Tour
Nashville,United States,Bridgestone Arena,Needtobreathe,"28,178 / 28,178","$1,841,134",Speak_Now_World_Tour
Nashville,United States,Bridgestone Arena,Needtobreathe,"28,178 / 28,178","$1,841,134",Speak_Now_World_Tour
Bossier City,United States,CenturyLink Center,Needtobreathe,"11,510 / 11,510","$728,546",Speak_Now_World_Tour
Tulsa,United States,BOK Center,Needtobreathe,"12,546 / 12,546","$907,573",Speak_Now_World_Tour
Kansas City,United States,Arrowhead Stadium,Needtobreathe,"48,562 / 48,562","$3,148,046",Speak_Now_World_Tour
Denver,United States,Pepsi Center,Needtobreathe,"12,908 / 12,908","$834,916",Speak_Now_World_Tour
Salt Lake City,United States,EnergySolutions Arena,Needtobreathe,"13,720 / 13,720","$896,946",Speak_Now_World_Tour
Atlanta,United States,Philips Arena,Needtobreathe,"26,244 / 26,244","$1,726,661",Speak_Now_World_Tour
Atlanta,United States,Philips Arena,Needtobreathe,"26,244 / 26,244","$1,726,661",Speak_Now_World_Tour
North Little Rock,United States,Verizon Arena,Needtobreathe,"13,566 / 13,566","$856,123",Speak_Now_World_Tour
New Orleans,United States,New Orleans Arena,Needtobreathe,"12,943 / 12,943","$830,289",Speak_Now_World_Tour
Arlington,United States,Cowboys Stadium,Needtobreathe,"55,451 / 55,451","$4,337,062",Speak_Now_World_Tour
Louisville,United States,KFC Yum! Center,Needtobreathe,"14,848 / 14,848","$1,003,828",Speak_Now_World_Tour
Lubbock,United States,United Spirit Arena,Needtobreathe,"10,419 / 10,419","$710,426",Speak_Now_World_Tour
Oklahoma City,United States,Chesapeake Energy Arena,Needtobreathe,"11,592 / 11,592","$758,364",Speak_Now_World_Tour
San Diego,United States,Valley View Casino Center,Needtobreathe,"10,834 / 10,834","$792,634",Speak_Now_World_Tour
Glendale,United States,Jobing.com Arena,Needtobreathe,"27,029 / 27,029","$1,826,025",Speak_Now_World_Tour
Glendale,United States,Jobing.com Arena,Needtobreathe,"27,029 / 27,029","$1,826,025",Speak_Now_World_Tour
San Antonio,United States,AT&T Center,Needtobreathe,"13,851 / 13,851","$901,535",Speak_Now_World_Tour
Austin,United States,Frank Erwin Center,Needtobreathe,"11,999 / 11,999","$752,078",Speak_Now_World_Tour
Lexington,United States,Rupp Arena,Needtobreathe,"16,237 / 16,237","$1,041,935",Speak_Now_World_Tour
Memphis,United States,FedExForum,Needtobreathe,"12,604 / 12,604","$820,036",Speak_Now_World_Tour
Houston,United States,Minute Maid Park,Needtobreathe,"42,095 / 42,095","$3,435,756",Speak_Now_World_Tour
Jacksonville,United States,Jacksonville Veterans Memorial Arena,Needtobreathe,"11,785 / 11,785","$749,099",Speak_Now_World_Tour
Tampa,United States,St. Pete Times Forum,Needtobreathe,"13,695 / 13,695","$914,300",Speak_Now_World_Tour
Miami,United States,American Airlines Arena,Needtobreathe,"12,153 / 12,153","$786,904",Speak_Now_World_Tour
Charlotte,United States,Time Warner Cable Arena,Needtobreathe,"14,272 / 14,272","$920,903",Speak_Now_World_Tour
Raleigh,United States,RBC Center,Needtobreathe,"13,567 / 13,567","$866,056",Speak_Now_World_Tour
Columbia,United States,Colonial Life Arena,Needtobreathe,"12,807 / 12,807","$828,231",Speak_Now_World_Tour
New York,United States,Madison Square Garden,Needtobreathe,"26,652 / 26,652","$1,988,411",Speak_Now_World_Tour
New York,United States,Madison Square Garden,Needtobreathe,"26,652 / 26,652","$1,988,411",Speak_Now_World_Tour
Perth,Australia,Burswood Dome,Hot Chelle Rae,"15,142 / 15,142","$1,878,530",Speak_Now_World_Tour
Adelaide,Australia,Adelaide Entertainment Centre,Hot Chelle Rae,"8,589 / 8,589","$1,075,370",Speak_Now_World_Tour
Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,"19,870 / 19,870","$2,416,030",Speak_Now_World_Tour
Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,"19,870 / 19,870","$2,416,030",Speak_Now_World_Tour
Sydney,Australia,Allphones Arena,Hot Chelle Rae,"27,900 / 27,900","$3,420,360",Speak_Now_World_Tour
Sydney,Australia,Allphones Arena,Hot Chelle Rae,"27,900 / 27,900","$3,420,360",Speak_Now_World_Tour
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,"33,793 / 33,793","$4,151,650",Speak_Now_World_Tour
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,"33,793 / 33,793","$4,151,650",Speak_Now_World_Tour
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,"33,793 / 33,793","$4,151,650",Speak_Now_World_Tour
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,"32,585 / 32,585","$2,888,560",Speak_Now_World_Tour
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,"32,585 / 32,585","$2,888,560",Speak_Now_World_Tour
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,"32,585 / 32,585","$2,888,560",Speak_Now_World_Tour
Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge","27,877 / 27,877","$2,243,164",The_Red_Tour
Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge","27,877 / 27,877","$2,243,164",The_Red_Tour
St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge","28,582 / 28,582","$2,346,203",The_Red_Tour
St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge","28,582 / 28,582","$2,346,203",The_Red_Tour
Charlotte,United States,Time Warner Cable Arena,"Ed Sheeran
Brett Eldredge","14,686 / 14,686","$1,162,733",The_Red_Tour
Columbia,United States,Colonial Life Arena,"Ed Sheeran
Brett Eldredge","12,490 / 12,490","$996,114",The_Red_Tour
Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line","38,065 / 38,065","$3,565,317",The_Red_Tour
Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line","38,065 / 38,065","$3,565,317",The_Red_Tour
Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line","38,065 / 38,065","$3,565,317",The_Red_Tour
