City,Country,Venue,Opening act(s),Attendance (tickets sold / available),Revenue,Tour
Miami,United States,American Airlines Arena,"Ed Sheeran
Brett Eldredge","12,808 / 12,808","$1,010,175",The_Red_Tour
Orlando,United States,Amway Center,"Ed Sheeran
Brett Eldredge","25,617 / 25,617","$2,054,128",The_Red_Tour
Orlando,United States,Amway Center,"Ed Sheeran
Brett Eldredge","25,617 / 25,617","$2,054,128",The_Red_Tour
Atlanta,United States,Philips Arena,"Ed Sheeran
Brett Eldredge","25,471 / 25,471","$2,048,023",The_Red_Tour
Atlanta,United States,Philips Arena,"Ed Sheeran
Brett Eldredge","25,471 / 25,471","$2,048,023",The_Red_Tour
Tampa,United States,Tampa Bay Times Forum,"Ed Sheeran
Brett Eldredge","14,080 / 14,080","$1,132,095",The_Red_Tour
Cleveland,United States,Quicken Loans Arena,"Ed Sheeran
Brett Eldredge","15,336 / 15,336","$1,247,605",The_Red_Tour
Indianapolis,United States,Bankers Life Fieldhouse,"Ed Sheeran
Brett Eldredge","13,573 / 13,573","$1,082,042",The_Red_Tour
Lexington,United States,Rupp Arena,"Ed Sheeran
Brett Eldredge","17,003 / 17,003","$1,342,699",The_Red_Tour
Detroit,United States,Ford Field,"Ed Sheeran
Austin Mahone
Brett Eldredge","48,265 / 48,265","$3,969,059",The_Red_Tour
Louisville,United States,KFC Yum! Center,"Ed Sheeran
Florida Georgia Line","15,135 / 15,135","$1,246,491",The_Red_Tour
Columbus,United States,Nationwide Arena,"Ed Sheeran
Florida Georgia Line","14,267 / 14,267","$1,155,170",The_Red_Tour
Washington,United States,Verizon Center,"Ed Sheeran
Brett Eldredge","27,619 / 27,619","$2,489,205",The_Red_Tour
Washington,United States,Verizon Center,"Ed Sheeran
Brett Eldredge","27,619 / 27,619","$2,489,205",The_Red_Tour
Houston,United States,Toyota Center,"Ed Sheeran
Brett Eldredge","12,467 / 12,467","$961,422",The_Red_Tour
Austin,United States,Frank Erwin Center,"Ed Sheeran
Florida Georgia Line","11,916 / 11,916","$935,631",The_Red_Tour
San Antonio,United States,AT&T Center,"Ed Sheeran
Florida Georgia Line","13,974 / 13,974","$1,105,253",The_Red_Tour
Arlington,United States,Cowboys Stadium,"Ed Sheeran
Austin Mahone
Florida Georgia Line","53,020 / 53,020","$4,589,266",The_Red_Tour
Glendale,United States,Jobing.com Arena,"Ed Sheeran
Joel Crouse","26,705 / 26,705","$2,239,370",The_Red_Tour
Glendale,United States,Jobing.com Arena,"Ed Sheeran
Joel Crouse","26,705 / 26,705","$2,239,370",The_Red_Tour
Salt Lake City,United States,EnergySolutions Arena,"Ed Sheeran
Joel Crouse","14,007 / 14,007","$1,139,360",The_Red_Tour
Denver,United States,Pepsi Center,"Ed Sheeran
Joel Crouse","13,489 / 13,489","$1,076,069",The_Red_Tour
Toronto,Canada,Rogers Centre,"Ed Sheeran
Austin Mahone
Joel Crouse","87,627 / 87,627","$7,863,310",The_Red_Tour
Toronto,Canada,Rogers Centre,"Ed Sheeran
Austin Mahone
Joel Crouse","87,627 / 87,627","$7,863,310",The_Red_Tour
Winnipeg,Canada,Investors Group Field,"Ed Sheeran
Austin Mahone
Joel Crouse","33,061 / 33,061","$3,175,430",The_Red_Tour
Edmonton,Canada,Rexall Place,"Ed Sheeran
Joel Crouse","25,663 / 25,663","$2,379,870",The_Red_Tour
Edmonton,Canada,Rexall Place,"Ed Sheeran
Joel Crouse","25,663 / 25,663","$2,379,870",The_Red_Tour
Vancouver,Canada,BC Place Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse","41,142 / 41,142","$3,974,410",The_Red_Tour
Pittsburgh,United States,Heinz Field,"Ed Sheeran
Austin Mahone
Joel Crouse","56,047 / 56,047","$4,718,518",The_Red_Tour
East Rutherford,United States,MetLife Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse","52,399 / 52,399","$4,670,011",The_Red_Tour
Philadelphia,United States,Lincoln Financial Field,"Ed Sheeran
Austin Mahone
Joel Crouse","101,277 / 101,277","$8,822,335",The_Red_Tour
Philadelphia,United States,Lincoln Financial Field,"Ed Sheeran
Austin Mahone
Joel Crouse","101,277 / 101,277","$8,822,335",The_Red_Tour
Foxborough,United States,Gillette Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse","110,712 / 110,712","$9,464,063",The_Red_Tour
Foxborough,United States,Gillette Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse","110,712 / 110,712","$9,464,063",The_Red_Tour
Des Moines,United States,Wells Fargo Arena,"Ed Sheeran
Florida Georgia Line","13,368 / 13,368","$1,075,576",The_Red_Tour
Kansas City,United States,Sprint Center,"Ed Sheeran
Florida Georgia Line","26,412 / 26,412","$2,093,172",The_Red_Tour
Kansas City,United States,Sprint Center,"Ed Sheeran
Florida Georgia Line","26,412 / 26,412","$2,093,172",The_Red_Tour
Wichita,United States,Intrust Bank Arena,"Ed Sheeran
Casey James","12,231 / 12,231","$983,882",The_Red_Tour
Tulsa,United States,BOK Center,"Ed Sheeran
Casey James","10,949 / 10,949","$868,955",The_Red_Tour
Chicago,United States,Soldier Field,"Ed Sheeran
Austin Mahone
Casey James","50,809 / 50,809","$4,149,148",The_Red_Tour
San Diego,United States,Valley View Casino Center,"Ed Sheeran
Casey James","10,872 / 10,872","$948,541",The_Red_Tour
Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James","55,829 / 55,829","$4,734,463",The_Red_Tour
Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James","55,829 / 55,829","$4,734,463",The_Red_Tour
Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James","55,829 / 55,829","$4,734,463",The_Red_Tour
Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James","55,829 / 55,829","$4,734,463",The_Red_Tour
Sacramento,United States,Sleep Train Arena,"Ed Sheeran
Casey James","12,795 / 12,795","$1,138,103",The_Red_Tour
Portland,United States,Moda Center,"Ed Sheeran
Casey James","13,952 / 13,952","$1,084,760",The_Red_Tour
Tacoma,United States,Tacoma Dome,"Ed Sheeran
Casey James","20,348 / 20,348","$1,584,049",The_Red_Tour
Fargo,United States,Fargodome,"Ed Sheeran
Casey James","21,073 / 21,073","$1,661,578",The_Red_Tour
Saint Paul,United States,Xcel Energy Center,"Ed Sheeran
Casey James","28,920 / 28,920","$2,320,937",The_Red_Tour
Saint Paul,United States,Xcel Energy Center,"Ed Sheeran
Casey James","28,920 / 28,920","$2,320,937",The_Red_Tour
Greensboro,United States,Greensboro Coliseum,"Ed Sheeran
Casey James","13,650 / 13,650","$1,109,253",The_Red_Tour
Raleigh,United States,PNC Arena,"Ed Sheeran
Casey James","13,941 / 13,941","$1,088,612",The_Red_Tour
Charlottesville,United States,John Paul Jones Arena,"Ed Sheeran
Casey James","12,689 / 12,689","$997,216",The_Red_Tour
Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James","41,292 / 41,292","$3,336,545",The_Red_Tour
Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James","41,292 / 41,292","$3,336,545",The_Red_Tour
Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James","41,292 / 41,292","$3,336,545",The_Red_Tour
Auckland,New Zealand,Vector Arena,Neon Trees,"30,799 / 30,799","$3,100,290",The_Red_Tour
Auckland,New Zealand,Vector Arena,Neon Trees,"30,799 / 30,799","$3,100,290",The_Red_Tour
Auckland,New Zealand,Vector Arena,Neon Trees,"30,799 / 30,799","$3,100,290",The_Red_Tour
Sydney,Australia,Allianz Stadium,"Guy Sebastian
Neon Trees","40,930 / 40,930","$4,096,060",The_Red_Tour
Brisbane,Australia,Suncorp Stadium,"Guy Sebastian
Neon Trees","38,907 / 38,907","$3,895,810",The_Red_Tour
Perth,Australia,Perth Rectangular Stadium,"Guy Sebastian
Neon Trees","21,827 / 21,827","$2,364,080",The_Red_Tour
Melbourne,Australia,Etihad Stadium,"Guy Sebastian
Neon Trees","47,257 / 47,257","$4,547,250",The_Red_Tour
London,England,The O2 Arena,The Vamps,"74,740 / 74,740","$5,829,240",The_Red_Tour
London,England,The O2 Arena,The Vamps,"74,740 / 74,740","$5,829,240",The_Red_Tour
London,England,The O2 Arena,The Vamps,"74,740 / 74,740","$5,829,240",The_Red_Tour
Berlin,Germany,O2 World,Andreas Bourani,"10,350 / 10,350","$755,006",The_Red_Tour
London,England,The O2 Arena,The Vamps,,,The_Red_Tour
London,England,The O2 Arena,The Vamps,,,The_Red_Tour
Shanghai,China,Mercedes-Benz Arena,N/A,"12,793 / 12,793","$1,864,934",The_Red_Tour
Saitama,Japan,Saitama Super Arena,CTS,"20,046 / 20,046","$1,837,147",The_Red_Tour
Jakarta,Indonesia,MEIS Ancol,Nicole Zefanya,"8,130 / 8,130","$1,481,473",The_Red_Tour
Pasay,Philippines,Mall of Asia Arena,Meg Bucsit,"9,775 / 9,775","$1,511,662",The_Red_Tour
Singapore,Singapore,Singapore Indoor Stadium,Imprompt-3,"16,344 / 16,344","$2,524,080",The_Red_Tour
Kuala Lumpur,Malaysia,Putra Indoor Stadium,IamNeeta,"7,525 / 7,525","$998,608",The_Red_Tour
Singapore,Singapore,Singapore Indoor Stadium,Imprompt-3,,,The_Red_Tour
Tokyo,Japan,Tokyo Dome,—,"100,320 / 100,320","$10,586,828",The_1989_World_Tour
Tokyo,Japan,Tokyo Dome,—,"100,320 / 100,320","$10,586,828",The_1989_World_Tour
Winchester,United States,City of Rock,—,—,—,The_1989_World_Tour
Bossier City,United States,CenturyLink Center,Vance Joy,"12,459 / 12,459","$1,458,197",The_1989_World_Tour
Baton Rouge,United States,LSU Tiger Stadium,"Vance Joy
Shawn Mendes","50,227 / 50,227","$4,119,670",The_1989_World_Tour
Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes","50,703 / 50,703","$5,999,690",The_1989_World_Tour
Louisville,United States,KFC Yum! Center,Vance Joy,"16,242 / 16,242","$1,863,281",The_1989_World_Tour
Cleveland,United States,Quicken Loans Arena,Vance Joy,"15,503 / 15,503","$1,732,041",The_1989_World_Tour
Pittsburgh,United States,Heinz Field,"Vance Joy
Shawn Mendes","54,801 / 54,801","$5,836,926",The_1989_World_Tour
Charlotte,United States,Time Warner Cable Arena,Vance Joy,"15,024 / 15,024","$1,627,798",The_1989_World_Tour
Raleigh,United States,PNC Arena,Vance Joy,"13,886 / 13,886","$1,653,762",The_1989_World_Tour
Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes","101,052 / 101,052","$11,987,816",The_1989_World_Tour
Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes","101,052 / 101,052","$11,987,816",The_1989_World_Tour
Cologne,Germany,Lanxess Arena,James Bay,"29,020 / 29,020","$2,054,690",The_1989_World_Tour
Cologne,Germany,Lanxess Arena,James Bay,"29,020 / 29,020","$2,054,690",The_1989_World_Tour
Amsterdam,Netherlands,Ziggo Dome,James Bay,"11,166 / 11,166","$800,829",The_1989_World_Tour
Glasgow,Scotland,SSE Hydro,Vance Joy,"11,021 / 11,021","$1,119,300",The_1989_World_Tour
Manchester,England,Manchester Arena,Vance Joy,"14,773 / 14,773","$1,478,760",The_1989_World_Tour
London,England,Hyde Park,—,—,—,The_1989_World_Tour
Dublin,Ireland,3Arena,Vance Joy,"25,188 / 25,188","$1,975,510",The_1989_World_Tour
Dublin,Ireland,3Arena,Vance Joy,"25,188 / 25,188","$1,975,510",The_1989_World_Tour
Ottawa,Canada,Canadian Tire Centre,Vance Joy,"13,480 / 13,480","$1,325,480",The_1989_World_Tour
Montreal,Canada,Bell Centre,Vance Joy,"14,770 / 14,770","$1,499,040",The_1989_World_Tour
East Rutherford,United States,MetLife Stadium,"Vance Joy
Shawn Mendes
Haim","110,105 / 110,105","$13,423,858",The_1989_World_Tour
East Rutherford,United States,MetLife Stadium,"Vance Joy
Shawn Mendes
Haim","110,105 / 110,105","$13,423,858",The_1989_World_Tour
Washington,United States,Nationals Park,"Vance Joy
Shawn Mendes
Haim","85,014 / 85,014","$9,730,596",The_1989_World_Tour
Washington,United States,Nationals Park,"Vance Joy
Shawn Mendes
Haim","85,014 / 85,014","$9,730,596",The_1989_World_Tour
Chicago,United States,Soldier Field,"Vance Joy
Shawn Mendes
Haim","110,109 / 110,109","$11,469,887",The_1989_World_Tour
Chicago,United States,Soldier Field,"Vance Joy
Shawn Mendes
Haim","110,109 / 110,109","$11,469,887",The_1989_World_Tour
Foxborough,United States,Gillette Stadium,"Vance Joy
Shawn Mendes
Haim","116,849 / 116,849","$12,533,166",The_1989_World_Tour
Foxborough,United States,Gillette Stadium,"Vance Joy
Shawn Mendes
Haim","116,849 / 116,849","$12,533,166",The_1989_World_Tour
Vancouver,Canada,BC Place,"Vance Joy
Shawn Mendes","41,463 / 41,463","$4,081,820",The_1989_World_Tour
Edmonton,Canada,Rexall Place,Vance Joy,"26,534 / 26,534","$2,387,080",The_1989_World_Tour
Edmonton,Canada,Rexall Place,Vance Joy,"26,534 / 26,534","$2,387,080",The_1989_World_Tour
Seattle,United States,CenturyLink Field,"Vance Joy
Shawn Mendes","55,711 / 55,711","$6,050,643",The_1989_World_Tour
Santa Clara,United States,Levi's Stadium,"Vance Joy
Shawn Mendes","102,139 / 102,139","$13,031,146",The_1989_World_Tour
Santa Clara,United States,Levi's Stadium,"Vance Joy
Shawn Mendes","102,139 / 102,139","$13,031,146",The_1989_World_Tour
Glendale,United States,Gila River Arena,Vance Joy,"26,520 / 26,520","$3,029,628",The_1989_World_Tour
Glendale,United States,Gila River Arena,Vance Joy,"26,520 / 26,520","$3,029,628",The_1989_World_Tour
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour
San Diego,United States,Petco Park,"Vance Joy
Shawn Mendes","44,710 / 44,710","$5,475,237",The_1989_World_Tour
Salt Lake City,United States,EnergySolutions Arena,Vance Joy,"14,131 / 14,131","$1,589,686",The_1989_World_Tour
Denver,United States,Pepsi Center,Vance Joy,"27,126 / 27,126","$2,868,991",The_1989_World_Tour
Denver,United States,Pepsi Center,Vance Joy,"27,126 / 27,126","$2,868,991",The_1989_World_Tour
Houston,United States,Minute Maid Park,"Vance Joy
Shawn Mendes","40,122 / 40,122","$5,202,196",The_1989_World_Tour
Saint Paul,United States,Xcel Energy Center,Vance Joy,"45,126 / 45,126","$5,514,863",The_1989_World_Tour
Saint Paul,United States,Xcel Energy Center,Vance Joy,"45,126 / 45,126","$5,514,863",The_1989_World_Tour
Saint Paul,United States,Xcel Energy Center,Vance Joy,"45,126 / 45,126","$5,514,863",The_1989_World_Tour
Indianapolis,United States,Bankers Life Fieldhouse,Vance Joy,"14,010 / 14,010","$1,550,268",The_1989_World_Tour
Columbus,United States,Nationwide Arena,Vance Joy,"29,936 / 29,936","$3,369,693",The_1989_World_Tour
Columbus,United States,Nationwide Arena,Vance Joy,"29,936 / 29,936","$3,369,693",The_1989_World_Tour
Kansas City,United States,Sprint Center,Vance Joy,"27,857 / 27,857","$2,967,558",The_1989_World_Tour
Kansas City,United States,Sprint Center,Vance Joy,"27,857 / 27,857","$2,967,558",The_1989_World_Tour
Nashville,United States,Bridgestone Arena,"Vance Joy
Haim","28,917 / 28,917","$3,354,844",The_1989_World_Tour
Nashville,United States,Bridgestone Arena,"Vance Joy
Haim","28,917 / 28,917","$3,354,844",The_1989_World_Tour
St. Louis,United States,Scottrade Center,"Vance Joy
Haim","29,688 / 29,688","$3,452,940",The_1989_World_Tour
St. Louis,United States,Scottrade Center,"Vance Joy
Haim","29,688 / 29,688","$3,452,940",The_1989_World_Tour
Toronto,Canada,Rogers Centre,"Vance Joy
Shawn Mendes","99,283 / 99,283","$8,670,990",The_1989_World_Tour
Toronto,Canada,Rogers Centre,"Vance Joy
Shawn Mendes","99,283 / 99,283","$8,670,990",The_1989_World_Tour
Des Moines,United States,Wells Fargo Arena,Vance Joy,"13,969 / 13,969","$1,566,321",The_1989_World_Tour
Omaha,United States,CenturyLink Center Omaha,Vance Joy,"29,622 / 29,622","$3,121,421",The_1989_World_Tour
Omaha,United States,CenturyLink Center Omaha,Vance Joy,"29,622 / 29,622","$3,121,421",The_1989_World_Tour
Fargo,United States,Fargodome,Vance Joy,"21,067 / 21,067","$2,219,188",The_1989_World_Tour
Arlington,United States,AT&T Stadium,"Vance Joy
Shawn Mendes","62,630 / 62,630","$7,396,733",The_1989_World_Tour
Lexington,United States,Rupp Arena,Vance Joy,"17,084 / 17,084","$1,870,471",The_1989_World_Tour
Greensboro,United States,Greensboro Coliseum,Vance Joy,"15,079 / 15,079","$1,662,171",The_1989_World_Tour
Atlanta,United States,Georgia Dome,"Vance Joy
Shawn Mendes","56,046 / 56,046","$6,034,846",The_1989_World_Tour
Miami,United States,American Airlines Arena,Vance Joy,"14,044 / 14,044","$1,527,919",The_1989_World_Tour
Tampa,United States,Raymond James Stadium,"Vance Joy
Shawn Mendes","56,987 / 56,987","$6,202,515",The_1989_World_Tour
Singapore,Singapore,Singapore Indoor Stadium,—,"17,726 / 17,726","$3,217,569",The_1989_World_Tour
Singapore,Singapore,Singapore Indoor Stadium,—,"17,726 / 17,726","$3,217,569",The_1989_World_Tour
Shanghai,China,Mercedes-Benz Arena,—,"37,758 / 37,758","$5,917,348",The_1989_World_Tour
Shanghai,China,Mercedes-Benz Arena,—,"37,758 / 37,758","$5,917,348",The_1989_World_Tour
Shanghai,China,Mercedes-Benz Arena,—,"37,758 / 37,758","$5,917,348",The_1989_World_Tour
Sydney,Australia,ANZ Stadium,Vance Joy,"75,980 / 75,980","$6,571,683",The_1989_World_Tour
Brisbane,Australia,Suncorp Stadium,Vance Joy,"46,881 / 46,881","$4,759,471",The_1989_World_Tour
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,"20,090 / 20,090","$2,407,499",The_1989_World_Tour
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,"20,090 / 20,090","$2,407,499",The_1989_World_Tour
Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553",The_1989_World_Tour
Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553",The_1989_World_Tour
Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553",The_1989_World_Tour
Glendale,United States,University of Phoenix Stadium,"Camila Cabello
Charli XCX","59,157 / 59,157","$7,214,478",Reputation_Stadium_Tour
Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX","107,550 / 107,550","$14,006,963",Reputation_Stadium_Tour
Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX","107,550 / 107,550","$14,006,963",Reputation_Stadium_Tour
Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX","118,084 / 118,084","$16,251,980",Reputation_Stadium_Tour
Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX","118,084 / 118,084","$16,251,980",Reputation_Stadium_Tour
Seattle,United States,CenturyLink Field,Charli XCX,"56,021 / 56,021","$8,672,219",Reputation_Stadium_Tour
Denver,United States,Sports Authority Field at Mile High,"Camila Cabello
Charli XCX","57,140 / 57,140","$7,926,366",Reputation_Stadium_Tour
Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX","105,208 / 105,208","$14,576,697",Reputation_Stadium_Tour
Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX","105,208 / 105,208","$14,576,697",Reputation_Stadium_Tour
Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX","77,258 / 77,258","$6,169,724",Reputation_Stadium_Tour
Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX","77,258 / 77,258","$6,169,724",Reputation_Stadium_Tour
Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX","133,034 / 133,034","$8,567,769",Reputation_Stadium_Tour
Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX","133,034 / 133,034","$8,567,769",Reputation_Stadium_Tour
London,England,Wembley Stadium,"Camila Cabello
Charli XCX","143,427 / 143,427","$12,214,933",Reputation_Stadium_Tour
London,England,Wembley Stadium,"Camila Cabello
Charli XCX","143,427 / 143,427","$12,214,933",Reputation_Stadium_Tour
Louisville,United States,Cardinal Stadium,"Camila Cabello
Charli XCX","52,138 / 52,138","$4,928,219",Reputation_Stadium_Tour
Columbus,United States,Ohio Stadium,"Camila Cabello
Charli XCX","62,897 / 62,897","$6,606,529",Reputation_Stadium_Tour
Landover,United States,FedExField,"Camila Cabello
Charli XCX","95,672 / 95,672","$11,396,004",Reputation_Stadium_Tour
Landover,United States,FedExField,"Camila Cabello
Charli XCX","95,672 / 95,672","$11,396,004",Reputation_Stadium_Tour
Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX","107,378 / 107,378","$11,951,047",Reputation_Stadium_Tour
Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX","107,378 / 107,378","$11,951,047",Reputation_Stadium_Tour
Cleveland,United States,FirstEnergy Stadium,"Camila Cabello
Charli XCX","51,323 / 51,323","$5,148,757",Reputation_Stadium_Tour
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386",Reputation_Stadium_Tour
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386",Reputation_Stadium_Tour
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386",Reputation_Stadium_Tour
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846",Reputation_Stadium_Tour
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846",Reputation_Stadium_Tour
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846",Reputation_Stadium_Tour
Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX","100,310 / 100,310","$11,177,000",Reputation_Stadium_Tour
Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX","100,310 / 100,310","$11,177,000",Reputation_Stadium_Tour
Pittsburgh,United States,Heinz Field,"Camila Cabello
Charli XCX","56,445 / 56,445","$6,230,876",Reputation_Stadium_Tour
Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX","116,746 / 116,746","$18,089,415",Reputation_Stadium_Tour
Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX","116,746 / 116,746","$18,089,415",Reputation_Stadium_Tour
Tampa,United States,Raymond James Stadium,"Camila Cabello
Charli XCX","55,909 / 55,909","$7,244,264",Reputation_Stadium_Tour
Miami Gardens,United States,Hard Rock Stadium,"Camila Cabello
Charli XCX","47,818 / 47,818","$7,072,164",Reputation_Stadium_Tour
Nashville,United States,Nissan Stadium,"Camila Cabello
Charli XCX","56,112 / 56,112","$9,007,179",Reputation_Stadium_Tour
Detroit,United States,Ford Field,"Camila Cabello
Charli XCX","49,464 / 49,464","$6,597,852",Reputation_Stadium_Tour
Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX","98,774 / 98,774","$10,242,024",Reputation_Stadium_Tour
Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX","98,774 / 98,774","$10,242,024",Reputation_Stadium_Tour
Kansas City,United States,Arrowhead Stadium,"Camila Cabello
Charli XCX","58,611 / 58,611","$6,730,138",Reputation_Stadium_Tour
Indianapolis,United States,Lucas Oil Stadium,"Camila Cabello
Charli XCX","55,729 / 55,729","$6,531,245",Reputation_Stadium_Tour
St. Louis,United States,The Dome at America's Center,"Camila Cabello
Charli XCX","47,831 / 47,831","$4,884,054",Reputation_Stadium_Tour
New Orleans,United States,Mercedes-Benz Superdome,"Camila Cabello
Charli XCX","53,172 / 53,172","$6,491,546",Reputation_Stadium_Tour
Houston,United States,NRG Stadium,"Camila Cabello
Charli XCX","53,800 / 53,800","$9,350,275",Reputation_Stadium_Tour
Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX","105,002 / 105,002","$15,006,157",Reputation_Stadium_Tour
Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX","105,002 / 105,002","$15,006,157",Reputation_Stadium_Tour
Perth,Australia,Optus Stadium,"Charli XCX
Broods","50,891 / 50,891","$4,153,658",Reputation_Stadium_Tour
Melbourne,Australia,Marvel Stadium,"Charli XCX
Broods","63,027 / 63,027","$6,755,570",Reputation_Stadium_Tour
Sydney,Australia,ANZ Stadium,"Charli XCX
Broods","72,805 / 72,805","$7,686,564",Reputation_Stadium_Tour
Brisbane,Australia,The Gabba,"Charli XCX
Broods","43,907 / 43,907","$4,338,127",Reputation_Stadium_Tour
Auckland,New Zealand,Mount Smart Stadium,"Charli XCX
Broods","35,749 / 35,749","$3,617,593",Reputation_Stadium_Tour
Tokyo,Japan,Tokyo Dome,Charli XCX,"100,109 / 100,109","$14,859,847",Reputation_Stadium_Tour
Tokyo,Japan,Tokyo Dome,Charli XCX,"100,109 / 100,109","$14,859,847",Reputation_Stadium_Tour
